;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty
0;Tick;1;lvmh;5.37;0.0;5.37;342;0.0;342
1;Tick;2;lvmh;5.37;5.36;5.36;1622;0.0;1964
2;Tick;3;lvmh;5.37;5.35;5.35;9392;0.11313708498984519;11356
3;Tick;4;lvmh;5.37;5.35;5.35;11066;0.1600000000000037;22422
4;Tick;5;lvmh;5.37;5.29;5.29;11697;0.15318833724101824;34119
5;Tick;6;lvmh;5.37;5.29;5.3;7000;0.5008792269599531;41119
6;Tick;7;lvmh;5.37;5.29;5.32;11500;0.532265597861319;52619
7;Tick;8;lvmh;5.37;5.32;5.32;4000;0.4962334320132201;56619
8;Tick;9;lvmh;5.37;5.32;5.33;5000;0.46647615158762384;61619
9;Tick;10;lvmh;5.37;5.3;5.33;3000;0.43655214783319707;64619
10;Tick;11;lvmh;5.37;5.29;5.33;1000;0.4117388600665338;65619
11;Tick;12;lvmh;5.37;5.29;5.33;3000;0.3907289225397716;68619
12;Tick;13;lvmh;5.35;5.29;5.34;3000;0.37264004892202063;71619
13;Tick;14;lvmh;5.35;5.29;5.34;1000;0.3586870645233949;72619
14;Tick;15;lvmh;5.35;5.29;5.35;1023;0.3461816838623297;73642
15;Tick;16;lvmh;5.35;5.29;5.35;1000;0.34102366905706477;74642
16;Tick;17;lvmh;5.36;5.29;5.36;6523;0.33561883141444765;81165
17;Tick;18;lvmh;5.36;5.29;5.34;2000;0.33913384482514003;83165
18;Tick;19;lvmh;5.36;5.29;5.33;2500;0.3292772834736166;85665
19;Tick;20;lvmh;5.36;5.29;5.33;2500;0.32093430855761823;88165
20;Tick;21;lvmh;5.36;5.29;5.33;2500;0.31319071035493906;90665
21;Tick;22;lvmh;5.36;5.34;5.34;5500;0.3059785239896044;96165
22;Tick;23;lvmh;5.36;5.34;5.35;500;0.2989621296725636;96665
23;Tick;24;lvmh;5.39;5.29;5.39;7158;0.2958474128661672;103823
24;Tick;25;lvmh;5.35;5.29;5.35;500;0.33797350037617013;104323
25;Tick;26;lvmh;5.35;5.29;5.34;1500;0.33281025625221633;105823
26;Tick;27;lvmh;5.37;5.29;5.35;1000;0.3260957858336424;106823
27;Tick;28;lvmh;5.37;5.29;5.35;2500;0.3214780679115566;109323
28;Tick;29;lvmh;5.39;5.29;5.33;8000;0.31702319111336785;117323
29;Tick;30;lvmh;5.39;5.29;5.34;22000;0.31272518979924635;139323
30;Tick;31;lvmh;5.39;5.29;5.32;9000;0.3072877269375333;148323
31;Tick;32;lvmh;5.39;5.31;5.33;1500;0.3073633974052788;149823
32;Tick;33;lvmh;5.39;5.31;5.33;2000;0.30344261295150676;151823
33;Tick;34;lvmh;5.39;5.31;5.32;3000;0.29965636885262187;154823
34;Tick;35;lvmh;5.39;5.31;5.32;7000;0.2994088054793531;161823
35;Tick;36;lvmh;5.39;5.3;5.33;2000;0.2989370524785057;163823
36;Tick;37;lvmh;5.39;5.29;5.32;1500;0.2953007613985084;165323
37;Tick;38;lvmh;5.39;5.29;5.32;2000;0.29467343353690956;167323
38;Tick;39;lvmh;5.39;5.29;5.32;9000;0.2939000517153613;176323
39;Tick;40;lvmh;5.32;5.29;5.31;500;0.2930043548427465;176823
40;Tick;41;lvmh;5.32;5.29;5.3;6000;0.29655111549708124;182823
41;Tick;42;lvmh;5.32;5.29;5.31;7000;0.3057816852337455;189823
42;Tick;43;lvmh;5.32;5.29;5.32;3696;0.3079737835200515;193519
43;Tick;44;lvmh;5.32;5.29;5.32;2696;0.30614525464805253;196215
44;Tick;45;lvmh;5.32;5.29;5.31;17000;0.3043087338490764;213215
45;Tick;46;lvmh;5.32;5.29;5.32;11151;0.3058698475436293;224366
46;Tick;47;lvmh;5.32;5.29;5.32;1151;0.30392473006633247;225517
47;Tick;48;lvmh;5.32;5.29;5.31;3000;0.3019909268322327;228517
48;Tick;49;lvmh;5.32;5.31;5.32;2651;0.30309982439140204;231168
49;Tick;50;lvmh;5.32;5.31;5.32;302;0.30110906108363134;231470
50;Tick;51;lvmh;5.32;5.31;5.31;1894;0.2991405375814004;233364
51;Tick;52;lvmh;5.32;5.31;5.31;894;0.2999189432980503;234258
52;Tick;53;lvmh;5.32;5.31;5.31;1414;0.3005234247250054;235672
53;Tick;54;lvmh;5.38;5.31;5.38;23024;0.30097278180030673;258696
54;Tick;55;lvmh;5.38;5.31;5.38;2524;0.31737568203938477;261220
55;Tick;56;lvmh;5.38;5.31;5.38;1524;0.33177007169330397;262744
56;Tick;57;lvmh;5.38;5.31;5.38;524;0.34450340695354087;263268
57;Tick;58;lvmh;5.38;5.33;5.35;16500;0.3558378161163392;279768
58;Tick;59;lvmh;5.38;5.33;5.33;39;0.3544002201346064;279807
