;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
120;Auctions;Order;lvmh;mm;84.0;L;A;4.98;372.0;-1.0
121;Auctions;Order;lvmh;moha3;6.0;L;A;5.0;90.0;1.0
122;Auctions;Order;lvmh;bhd;5.0;L;A;5.01;887.0;-1.0
123;Auctions;Order;lvmh;moha1;7.0;L;A;5.01;470.0;1.0
124;Auctions;Order;lvmh;moha2;7.0;L;A;5.01;61.0;1.0
125;Auctions;Order;lvmh;bhd;3.0;L;A;5.08;4176.0;-1.0
126;Auctions;##############################;;;;;;;;
127;Auctions;##############################;;;;;;;;
128;Auctions;##############################;;;;;;;;
129;Auctions;##############################;;;;;;;;
130;Auctions;Order;lvmh;mm;85.0;L;B;4.97;226.0;-1.0
131;Auctions;Order;lvmh;moha;7.0;L;B;4.94;369.0;1.0
132;Auctions;Order;lvmh;saad;6.0;L;B;4.91;813.0;-1.0
133;Auctions;##############################;;;;;;;;
134;Auctions;##############################;;;;;;;;
135;Auctions;##############################;;;;;;;;
136;Auctions;##############################;;;;;;;;
137;Auctions;##############################;;;;;;;;
138;Auctions;##############################;;;;;;;;
139;Auctions;##############################;;;;;;;;
140;Auctions;Order;lvmh;mm;96.0;L;A;4.97;217.0;-1.0
141;Auctions;Order;lvmh;bhd;7.0;L;A;4.98;268.0;-1.0
142;Auctions;Order;lvmh;bhd;5.0;L;A;5.01;887.0;-1.0
143;Auctions;Order;lvmh;bhd;3.0;L;A;5.08;4176.0;-1.0
144;Auctions;##############################;;;;;;;;
145;Auctions;##############################;;;;;;;;
146;Auctions;##############################;;;;;;;;
147;Auctions;##############################;;;;;;;;
148;Auctions;##############################;;;;;;;;
149;Auctions;##############################;;;;;;;;
150;Auctions;Order;lvmh;mm;97.0;L;B;4.96;270.0;-1.0
151;Auctions;Order;lvmh;moha1;8.0;L;B;4.95;215.0;1.0
152;Auctions;Order;lvmh;moha;8.0;L;B;4.94;827.0;2.0
153;Auctions;Order;lvmh;moha3;8.0;L;B;4.94;45.0;2.0
154;Auctions;Order;lvmh;saad;6.0;L;B;4.91;813.0;-1.0
155;Auctions;##############################;;;;;;;;
156;Auctions;##############################;;;;;;;;
157;Auctions;##############################;;;;;;;;
158;Auctions;##############################;;;;;;;;
159;Auctions;##############################;;;;;;;;
160;Auctions;Order;lvmh;mm;108.0;L;A;4.99;5.0;-1.0
161;Auctions;Order;lvmh;bhd;8.0;L;A;5.0;273.0;-1.0
162;Auctions;Order;lvmh;bhd;5.0;L;A;5.01;887.0;-1.0
163;Auctions;Order;lvmh;bhd;3.0;L;A;5.08;4176.0;-1.0
164;Auctions;##############################;;;;;;;;
165;Auctions;##############################;;;;;;;;
166;Auctions;##############################;;;;;;;;
167;Auctions;##############################;;;;;;;;
168;Auctions;##############################;;;;;;;;
169;Auctions;##############################;;;;;;;;
170;Auctions;Order;lvmh;mm;109.0;L;B;4.98;275.0;-1.0
171;Auctions;Order;lvmh;moha3;9.0;L;B;4.96;5.0;2.0
172;Auctions;Order;lvmh;moha1;9.0;L;B;4.96;768.0;1.0
173;Auctions;Order;lvmh;moha;9.0;L;B;4.96;493.0;2.0
174;Auctions;Order;lvmh;moha;8.0;L;B;4.94;827.0;1.0
175;Auctions;Order;lvmh;moha3;8.0;L;B;4.94;45.0;1.0
176;Auctions;Order;lvmh;moha2;9.0;L;B;4.94;64.0;2.0
177;Auctions;Order;lvmh;saad;6.0;L;B;4.91;813.0;-1.0
178;Auctions;##############################;;;;;;;;
179;Auctions;##############################;;;;;;;;
180;Auctions;Order;lvmh;mm;120.0;L;A;5.27;724.0;-1.0
181;Auctions;Order;lvmh;moha3;10.0;L;A;5.32;58.0;2.0
182;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;5407.0;-1.0
183;Auctions;##############################;;;;;;;;
184;Auctions;##############################;;;;;;;;
185;Auctions;##############################;;;;;;;;
186;Auctions;##############################;;;;;;;;
187;Auctions;##############################;;;;;;;;
188;Auctions;##############################;;;;;;;;
189;Auctions;##############################;;;;;;;;
190;Auctions;Order;lvmh;mm;121.0;L;B;5.22;58.0;-1.0
191;Auctions;Order;lvmh;moha1;10.0;L;B;5.21;717.0;1.0
192;Auctions;Order;lvmh;moha;10.0;L;B;5.19;853.0;2.0
193;Auctions;Order;lvmh;moha3;9.0;L;B;4.96;5.0;1.0
194;Auctions;Order;lvmh;moha;9.0;L;B;4.96;493.0;1.0
195;Auctions;Order;lvmh;moha2;9.0;L;B;4.94;64.0;1.0
196;Auctions;Order;lvmh;saad;6.0;L;B;4.91;813.0;-1.0
197;Auctions;##############################;;;;;;;;
198;Auctions;##############################;;;;;;;;
199;Auctions;##############################;;;;;;;;
200;Auctions;Order;lvmh;mm;132.0;L;A;5.26;676.0;-1.0
201;Auctions;Order;lvmh;moha;11.0;L;A;5.27;366.0;1.0
