;Unnamed: 0;Unnamed: 0.1;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
45;45;45;Tick;46;lvmh;0.016;0.015;0.015;453120;0.030994297292348226;9680964;5.094536583586563;1.7305973998377724
46;46;46;Tick;47;lvmh;0.016;0.015;0.015;44100;0.03086689516927973;9725064;5.070263182800959;1.726066134133348
47;47;47;Tick;48;lvmh;0.016;0.015;0.016;100000;0.030735420120013776;9825064;5.085866091209874;1.7218455522973197
48;48;48;Tick;49;lvmh;0.016;0.015;0.015;100000;0.030945387722188845;9925064;5.032044885062349;1.692052263403453
49;49;49;Tick;50;lvmh;0.016;0.015;0.015;103334;0.0307971197522433;10028398;5.014263487378159;1.6890650587886562
50;50;50;Tick;51;lvmh;0.016;0.015;0.016;6575;0.03064732901102809;10034973;5.037523146784027;1.6862603811173946
51;51;51;Tick;52;lvmh;0.016;0.015;0.016;450000;0.030804328700146467;10484973;4.881026498307095;1.6610223134641393
52;52;52;Tick;53;lvmh;0.016;0.015;0.016;47614;0.0309370986422158;10532587;4.8923603638522355;3.005600861309782
53;53;53;Tick;54;lvmh;0.017;0.016;0.017;70505;0.031048255900851505;10603092;4.874894525138847;5.8108181198870845
54;54;54;Tick;55;lvmh;0.017;0.016;0.016;100000;0.031555260281489764;10703092;4.82714932250785;5.494327112289559
55;55;55;Tick;56;lvmh;0.017;0.016;0.016;150000;0.031615194744308316;10853092;4.757259709220713;5.350167179731197
56;56;56;Tick;57;lvmh;0.017;0.016;0.017;1000;0.031660537114673364;10854092;4.75680056873562;5.216512957312087
57;57;57;Tick;58;lvmh;0.017;0.016;0.016;200000;0.03206009394964635;11054092;4.666720132666378;4.971374395242357
58;58;58;Tick;59;lvmh;0.017;0.016;0.015;304671;0.032068891360685504;11358763;4.580825982032052;4.295714072839981
59;59;59;Tick;60;lvmh;0.017;0.016;0.016;55000;0.03186177041209578;11413763;4.55774608612553;4.271397043020328
60;60;60;Tick;61;lvmh;0.017;0.016;0.016;1000;0.031859578910613084;11414763;4.557328604172359;3.638569587019009
61;61;61;Tick;62;lvmh;0.017;0.016;0.015;787298;0.0318488232276109;12202061;4.5840533343435705;3.0349016890281924
62;62;62;Tick;63;lvmh;0.017;0.016;0.016;95000;0.03164370659558312;12297061;4.678671611518325;2.860324254493865
63;63;63;Tick;64;lvmh;0.017;0.016;0.016;100;0.03162504338614619;12297161;4.678631784688144;2.333770746782241
64;64;64;Tick;65;lvmh;0.017;0.016;0.016;100000;0.03159967851956223;12397161;4.805210417588854;1.6284449886892294
65;65;65;Tick;66;lvmh;0.017;0.016;0.016;202100;0.03156824110009687;12599261;4.88815810669433;1.153021127140466
66;66;66;Tick;67;lvmh;0.017;0.016;0.016;54000;0.031531299431245205;12653261;5.101211716470972;0.6978659556725272
67;67;67;Tick;68;lvmh;0.017;0.016;0.015;190661;0.031489367736048664;12843922;5.199649572629971;0.830272670750677
68;68;68;Tick;69;lvmh;0.017;0.016;0.016;26500;0.03128974732994669;12870422;5.188388105781886;1.4376309702326835
69;69;69;Tick;70;lvmh;0.017;0.016;0.016;100000;0.03124427313253685;12970422;5.146327796833748;0.8497643433499258
70;70;70;Tick;71;lvmh;0.017;0.016;0.016;110000;0.03119483951589368;13080422;5.100842129486488;0.28202681173044103
71;71;71;Tick;72;lvmh;0.017;0.016;0.015;274023;0.03114181232441513;13354445;5.1896201453228805;-0.2666244800429859
72;72;72;Tick;73;lvmh;0.017;0.016;0.016;202800;0.030949097488743724;13557245;5.1080243180700355;-0.18874866058419615
73;73;73;Tick;74;lvmh;0.017;0.016;0.015;311026;0.03089413356261145;13868271;5.075459192301608;-0.7117527543690142
74;74;74;Tick;75;lvmh;0.017;0.016;0.016;340100;0.030706164970528887;14208371;4.968357757219877;-0.5779515804148286
75;75;75;Tick;76;lvmh;0.017;0.016;0.016;100;0.03064970937357618;14208471;4.968321052343457;-0.29591700116503983
76;76;76;Tick;77;lvmh;0.017;0.016;0.016;215007;0.030590722134362175;14423478;5.005234071354745;-0.028808758460096694
77;77;77;Tick;78;lvmh;0.017;0.016;0.016;100000;0.03052943628428066;14523478;4.969058527990936;-0.3112187464794938
78;78;78;Tick;79;lvmh;0.017;0.016;0.016;40200;0.030466065584206163;14563678;4.954662892712185;-0.5836895819783883
79;79;79;Tick;80;lvmh;0.017;0.016;0.016;4600;0.030400806289380997;14568278;4.953020947482634;-0.8467397452855996
80;80;80;Tick;81;lvmh;0.017;0.016;0.016;5200;0.03033383873089422;14573478;4.951166145432786;-1.1008520706765719
81;81;81;Tick;82;lvmh;0.017;0.016;0.016;112097;0.030265328735316725;14685575;4.934733294362164;-1.3464767751912068
82;82;82;Tick;83;lvmh;0.017;0.016;0.016;100000;0.030195428901212094;14785575;4.899722673939999;-1.5840341820403872
